Events
"""The war to end all wars"": World War I (1914–1918)"
Russian Revolution and communism
Economic depression
The rise of dictatorship
The war in Europe
Blitzkrieg
Operation Barbarossa
Turning tides
Operation Overlord
Final days
The war in the Pacific
Japanese Expansion
Allied offensive
Final days
The Holocaust
The Nuclear Age begins
The end of empires: decolonization
The Cold War (1947–1991)
War by proxy
The space race
The end of the Cold War
Information and communications technology
